,name,floorPrice,marketCap,numOwners,totalSupply,sevenDayChange,sevenDayVolume,oneDayChange,oneDayVolume,thirtyDayChange,thirtyDayVolume,totalVolume,id
0,Bored Ape Comic,0.06,1347.073028647073,2360.0,9999.0,113.1603387706981,212.589382858794,0.8461044701247764,68.8818558623979,209.89795447523318,219.312782858795,220.352682858794,Q29sbGVjdGlvblN0YXRzVHlwZTo4MDQxNjg=
1,Degenz,0.095,1144.0733324876385,1517.0,11111.0,12.199307662139315,209.333190977173,0.030148993030646044,103.6371,-0.5258041674547191,265.477743986416,825.326071968199,Q29sbGVjdGlvblN0YXRzVHlwZTo3NjY2NTA=
2,Royal Society of Players,0.277,3873.127408980505,1551.0,10000.0,0.003674066939616931,206.825003639559,0.06357197907368412,42.715803901323,2.1648906286820964,2202.37581505433,2898.25320022998,Q29sbGVjdGlvblN0YXRzVHlwZTo4MTExMzk=
3,Nifty Island: Legendary Palms,2.6,12.81655625,551.0,6.0,18.284253982583834,205.0649,2.0157413676371023,89.085,0.0,221.8077,221.8077,Q29sbGVjdGlvblN0YXRzVHlwZTo4NjM4NTQ=
4,The Wicked Craniums,0.295,3675.3575663580223,4104.0,10762.0,-0.06265290208992667,203.199939786566,0.3268261848137454,58.0411,0.024581889749561235,1494.19588552828,6342.77355391562,Q29sbGVjdGlvblN0YXRzVHlwZTo3MTI5ODY=
5,Fortune Media,16.3,57.94574285714286,227.0,4.0,-0.8762064166683703,202.8101,0.6167664670658684,27.0,0.0,3313.74737270069,3313.74737270068,Q29sbGVjdGlvblN0YXRzVHlwZTo4NzYxNzI=
6,Forgotten Runes Wizards Cult,0.249,4003.799121728747,2103.0,10013.0,-0.3355705116281005,196.331306178849,0.35525412672518597,55.3961545909182,0.48249402490931165,1142.26787254611,1912.77207246409,Q29sbGVjdGlvblN0YXRzVHlwZTo3NTE3NTg=
7,Fast Food Punks,1.7,2148.1758241758243,449.0,1000.0,-0.5178937726692849,195.484,-0.22105156723963607,38.519,64.50747675561419,2615.93989730103,2655.87335263868,Q29sbGVjdGlvblN0YXRzVHlwZTo3NTQ2ODU=
8,Lazy Lions,0.125,1758.1522648045125,3190.0,10080.0,-0.705640057829326,192.908373499384,1.1830731627983664,62.1180811745191,0.0,1519.2634326798,1519.41323267983,Q29sbGVjdGlvblN0YXRzVHlwZTo4Nzk4ODE=
9,BAYC Honorary Members,100.0,3342.5,29.0,35.0,0.07743606319529185,191.0,0.0,80.0,0.0,920.7622,920.7622,Q29sbGVjdGlvblN0YXRzVHlwZTo1MTg5OTY=
10,BASTARD GAN PUNKS V2,0.369,6840.66196,2600.0,11305.0,-0.8275912352951615,190.60668,0.9917226886761055,41.8927,2.6729745927727944,2187.93028778087,4682.09316222764,Q29sbGVjdGlvblN0YXRzVHlwZTo4NzY2NA==
11,24px,0.085,1831.7241298721465,3798.0,9900.0,-0.88947954335735,185.762729938549,-0.4905924825822208,12.6995,0.0,2536.06630605853,2536.06630605882,Q29sbGVjdGlvblN0YXRzVHlwZTo4NTU3OTc=
12,Tools of Rock Mint Tickets,0.35,5.624563144610938,17.0,25.0,0.0,183.585741040101,-0.7689162884623392,17.7598,0.0,183.5857410401,183.5857410401,Q29sbGVjdGlvblN0YXRzVHlwZToxMDA2MTk4
13,NFTrees,8.5,1955.6144081081084,252.0,421.0,6.230619396800155,171.8711,0.19062167267731409,69.3299,59.616429910453014,452.804731431084,672.521934746481,Q29sbGVjdGlvblN0YXRzVHlwZToyMjU0Nw==
14,etherscissors official,1.66,68.96072289156626,84.0,100.0,0.0,171.7122,-0.8213234012116786,26.03,0.0,171.7122,171.7122,Q29sbGVjdGlvblN0YXRzVHlwZToxMDI1NjY4
15,Bitchcoin,1.7,1640.7084607142856,104.0,3291.0,133.00863999999999,167.5108,-0.803921568627451,1.5,171.7908,171.7908,180.5408,Q29sbGVjdGlvblN0YXRzVHlwZTo2NDI3MjY=
16,GLUEWAVE,0.9,366.0541189931146,40.0,248.0,1091.2582582859068,163.838738742886,6.543859649122807,8.6,0.0,163.988738742886,163.988738742886,Q29sbGVjdGlvblN0YXRzVHlwZTo5NjgxOTk=
17,MadBulL,1.488,95.75985502392344,154.0,246.0,4066.8475,162.7139,0.5701682396389003,15.306,202.56737499999872,162.853899999999,163.653899999999,Q29sbGVjdGlvblN0YXRzVHlwZTo3NTIwMjE=
18,Rivermen,0.1469,1763.5019737798461,1120.0,9874.0,78.60667974564332,157.525697880679,1.9604645665426752,78.5761,0.0,159.504497880679,159.504497880679,Q29sbGVjdGlvblN0YXRzVHlwZTo5NTE2Mjg=
19,The Meta Key,1.4,5.176378021978022,1461.0,3.0,0.20482103827627496,157.0168,0.9541407618589635,56.8909,-0.06101904962205283,615.384453496738,1811.36932003059,Q29sbGVjdGlvblN0YXRzVHlwZTozODM1MjU=
20,CryptoBeasts,0.29,3846.21224962129,2630.0,9478.0,0.5321951094866997,153.393989275886,-0.13539180361929962,17.0614,0.15440488310715572,908.200100135921,1694.92589576098,Q29sbGVjdGlvblN0YXRzVHlwZTo3NTEwODY=
21,Vox Collectibles,0.15,2490.749708325907,2977.0,8888.0,-0.963971763238485,152.729364428175,-0.4175119248038962,18.4794,0.0,4391.886707574,4391.88670757402,Q29sbGVjdGlvblN0YXRzVHlwZTo4NDM4MDQ=
22,Party Penguins,0.16,1716.632132297697,3204.0,9999.0,-0.9280068111255647,150.907055134481,1.8102041057381113,47.5835,0.0,2783.48987196244,2783.48987196244,Q29sbGVjdGlvblN0YXRzVHlwZTo4MzA2NDM=
23,Satoshibles,0.18,1720.152720930698,1439.0,5000.0,-0.6884890029480145,150.341347809343,1.1230688637707993,37.116551410873,0.0,793.091462944056,793.091462944058,Q29sbGVjdGlvblN0YXRzVHlwZTo3MDk0MzQ=
24,PXIN GXNG,0.8,27.277140983606557,335.0,34.0,3.3936914559329643,146.8152,-0.041023425940392114,52.1736,-0.3611578711038041,232.169951757738,830.289651857739,Q29sbGVjdGlvblN0YXRzVHlwZTo2MTI0OTA=
25,Ethernity's Master Collection,0.02,3391.6412805388572,5114.0,11984.0,22.375690657462517,145.469260530455,-0.4397531140121918,34.9173057887068,108.01717454466169,154.247460530455,850.971015721193,Q29sbGVjdGlvblN0YXRzVHlwZTo1OTc5Mw==
26,DeadFellaz,0.0899,1179.6756615965462,2616.0,10000.0,-0.7733060914816743,143.44856045014,-0.2428505962441538,19.874774914248,0.0,776.233805487036,776.233805487034,Q29sbGVjdGlvblN0YXRzVHlwZTo5MzYxMjE=
27,Illuvium,0.19,9.42630578778135,1760.0,21.0,-0.37270022762196997,139.5991,-0.4463822074168422,11.301,4.364742073791165,520.262493306327,846.319337792943,Q29sbGVjdGlvblN0YXRzVHlwZTozODAyMjU=
28,Inertial Moment,2.0,91.30461295046513,97.0,150.0,0.0,138.783011684707,-0.49394821943523554,46.4715,1754.7876460588375,140.463011684707,140.883011684707,Q29sbGVjdGlvblN0YXRzVHlwZTo0Njg0MDA=
29,Physarum Series,2.5,84.09859488713283,115.0,149.0,0.0,136.025244079188,153.95230321794511,130.454344079188,0.0,136.025244079188,136.025244079187,Q29sbGVjdGlvblN0YXRzVHlwZTo4OTU1MTQ=
30,"""I'm Spottie""",0.034,180.5668159970157,709.0,2003.0,0.0,135.132130394172,2.768110387121502,1.9662,0.0,135.132130394172,135.132130394172,Q29sbGVjdGlvblN0YXRzVHlwZTo4NjU5OTE=
31,AlphaBetty Doodles,0.08,1424.1353113972968,3045.0,10000.0,-0.8321717945048515,134.865613989324,0.22812882724835337,18.5515,0.0,1021.37761937133,1021.37761937135,Q29sbGVjdGlvblN0YXRzVHlwZTo4ODI4OTI=
32,ChainRings,0.2095,263.8775099513144,495.0,1024.0,58.241070067877665,132.196447856469,-0.6774420989849739,32.1971,0.0,183.148860648798,183.148860648798,Q29sbGVjdGlvblN0YXRzVHlwZTo4MDAyNDI=
33,Purrnelopes Country Club,0.12,1900.710983222446,2041.0,10000.0,-0.8006453443289068,132.09941333396,-0.1860867198812813,23.8388,336.04153661818816,798.788441785106,801.158441785107,Q29sbGVjdGlvblN0YXRzVHlwZTo3OTYxMDE=
